None,code,date,value
92133,MKPRU,2010-08-16,0.0769
92131,MKPRU,2010-08-18,0.0688
92130,MKPRU,2010-08-19,0.0667
92129,MKPRU,2010-08-20,0.07
92128,MKPRU,2010-08-21,0.0664
92127,MKPRU,2010-08-22,0.066
92126,MKPRU,2010-08-23,0.07
92125,MKPRU,2010-08-24,0.0665
92124,MKPRU,2010-08-25,0.0665
92123,MKPRU,2010-08-26,0.07
92122,MKPRU,2010-08-27,0.065
92121,MKPRU,2010-08-28,0.0648
92120,MKPRU,2010-08-29,0.06
92119,MKPRU,2010-08-30,0.065
92118,MKPRU,2010-08-31,0.0649
92117,MKPRU,2010-09-01,0.06
92116,MKPRU,2010-09-02,0.0634
92115,MKPRU,2010-09-03,0.0613
92114,MKPRU,2010-09-04,0.06
92113,MKPRU,2010-09-05,0.064
92112,MKPRU,2010-09-06,0.0618
92111,MKPRU,2010-09-07,0.06
92110,MKPRU,2010-09-08,0.0624
92109,MKPRU,2010-09-09,0.062
92108,MKPRU,2010-09-10,0.06
92107,MKPRU,2010-09-11,0.065
92106,MKPRU,2010-09-12,0.062
92105,MKPRU,2010-09-13,0.06
92104,MKPRU,2010-09-14,0.175
92103,MKPRU,2010-09-15,0.0619
92102,MKPRU,2010-09-16,0.15
92101,MKPRU,2010-09-17,0.0609
92100,MKPRU,2010-09-18,0.0626
92099,MKPRU,2010-09-19,0.06
92098,MKPRU,2010-09-20,0.0633
92097,MKPRU,2010-09-21,0.0628
92096,MKPRU,2010-09-22,0.06
92095,MKPRU,2010-09-23,0.0628
92094,MKPRU,2010-09-24,0.0624
92093,MKPRU,2010-09-25,0.06
92092,MKPRU,2010-09-26,0.0622
92091,MKPRU,2010-09-27,0.0627
92090,MKPRU,2010-09-28,0.06
92089,MKPRU,2010-09-29,0.0619
92088,MKPRU,2010-09-30,0.062
92087,MKPRU,2010-10-01,0.06
92086,MKPRU,2010-10-02,0.0614
92085,MKPRU,2010-10-03,0.062
92084,MKPRU,2010-10-04,0.06
92083,MKPRU,2010-10-05,0.0633
92082,MKPRU,2010-10-06,0.0638
92081,MKPRU,2010-10-07,0.06
92080,MKPRU,2010-10-08,0.12
92079,MKPRU,2010-10-09,0.12
92078,MKPRU,2010-10-10,0.12
92077,MKPRU,2010-10-11,0.099
92076,MKPRU,2010-10-12,0.095
92075,MKPRU,2010-10-13,0.1
92074,MKPRU,2010-10-14,0.119
92073,MKPRU,2010-10-15,0.109
92072,MKPRU,2010-10-16,0.12
92071,MKPRU,2010-10-17,0.103
92070,MKPRU,2010-10-18,0.1024
92069,MKPRU,2010-10-19,0.1
92068,MKPRU,2010-10-20,0.109
92067,MKPRU,2010-10-21,0.107
92066,MKPRU,2010-10-22,0.11
92065,MKPRU,2010-10-23,0.19
92064,MKPRU,2010-10-24,0.15
92063,MKPRU,2010-10-25,0.18
92062,MKPRU,2010-10-26,0.19
92061,MKPRU,2010-10-27,0.19
92060,MKPRU,2010-10-28,0.19
92059,MKPRU,2010-10-29,0.1919
92058,MKPRU,2010-10-30,0.199
92057,MKPRU,2010-10-31,0.19
92056,MKPRU,2010-11-01,0.1955
92055,MKPRU,2010-11-02,0.275
92054,MKPRU,2010-11-03,0.21
92053,MKPRU,2010-11-04,0.2399
92052,MKPRU,2010-11-05,0.29
92051,MKPRU,2010-11-06,0.25
92050,MKPRU,2010-11-07,0.37
92049,MKPRU,2010-11-08,0.3368
92048,MKPRU,2010-11-09,0.36
92047,MKPRU,2010-11-10,0.24
92046,MKPRU,2010-11-11,0.251
92045,MKPRU,2010-11-12,0.24
92044,MKPRU,2010-11-13,0.299
92043,MKPRU,2010-11-14,0.2828
92042,MKPRU,2010-11-15,0.3
92041,MKPRU,2010-11-16,0.28
92040,MKPRU,2010-11-17,0.29
92039,MKPRU,2010-11-18,0.28
92038,MKPRU,2010-11-19,0.289
92037,MKPRU,2010-11-20,0.29
92036,MKPRU,2010-11-21,0.29
92035,MKPRU,2010-11-22,0.2879
92034,MKPRU,2010-11-23,0.283
92033,MKPRU,2010-11-24,0.29
92032,MKPRU,2010-11-25,0.289
92031,MKPRU,2010-11-26,0.2844
92030,MKPRU,2010-11-27,0.29
92029,MKPRU,2010-11-28,0.279
92028,MKPRU,2010-11-29,0.275
92027,MKPRU,2010-11-30,0.28
92026,MKPRU,2010-12-01,0.25
92025,MKPRU,2010-12-02,0.2553
92024,MKPRU,2010-12-03,0.25
92023,MKPRU,2010-12-04,0.235
92022,MKPRU,2010-12-05,0.225
92021,MKPRU,2010-12-06,0.23
92020,MKPRU,2010-12-07,0.2477
92019,MKPRU,2010-12-08,0.2388
92018,MKPRU,2010-12-09,0.25
92017,MKPRU,2010-12-10,0.2275
92016,MKPRU,2010-12-11,0.228
92015,MKPRU,2010-12-12,0.23
92014,MKPRU,2010-12-13,0.23
92013,MKPRU,2010-12-14,0.2468
92012,MKPRU,2010-12-15,0.23
92011,MKPRU,2010-12-16,0.255
92010,MKPRU,2010-12-17,0.249
92009,MKPRU,2010-12-18,0.25
92008,MKPRU,2010-12-19,0.275
92007,MKPRU,2010-12-20,0.2691
92006,MKPRU,2010-12-21,0.27
92005,MKPRU,2010-12-22,0.25
92004,MKPRU,2010-12-23,0.25
92003,MKPRU,2010-12-24,0.25
92002,MKPRU,2010-12-25,0.27
92001,MKPRU,2010-12-26,0.265
92000,MKPRU,2010-12-27,0.27
91999,MKPRU,2010-12-28,0.301
91998,MKPRU,2010-12-29,0.3
91997,MKPRU,2010-12-30,0.3
91996,MKPRU,2010-12-31,0.3
91995,MKPRU,2011-01-01,0.3
91994,MKPRU,2011-01-02,0.3
91993,MKPRU,2011-01-03,0.2999
91992,MKPRU,2011-01-04,0.299
91991,MKPRU,2011-01-05,0.3
91990,MKPRU,2011-01-06,0.322
91989,MKPRU,2011-01-07,0.3229
91988,MKPRU,2011-01-08,0.32
91987,MKPRU,2011-01-09,0.329
91986,MKPRU,2011-01-10,0.329
91985,MKPRU,2011-01-11,0.33
91984,MKPRU,2011-01-12,0.405
91983,MKPRU,2011-01-13,0.45
91982,MKPRU,2011-01-14,0.42
91981,MKPRU,2011-01-15,0.4
91980,MKPRU,2011-01-16,0.4
91979,MKPRU,2011-01-17,0.4
91978,MKPRU,2011-01-18,0.3401
91977,MKPRU,2011-01-19,0.3675
91976,MKPRU,2011-01-20,0.35
91975,MKPRU,2011-01-21,0.4299
91974,MKPRU,2011-01-22,0.4443
91973,MKPRU,2011-01-23,0.43
91972,MKPRU,2011-01-24,0.425
91971,MKPRU,2011-01-25,0.425
91970,MKPRU,2011-01-26,0.43
91969,MKPRU,2011-01-27,0.45
91968,MKPRU,2011-01-28,0.446
91967,MKPRU,2011-01-29,0.45
91966,MKPRU,2011-01-30,0.5
91965,MKPRU,2011-01-31,0.95
91964,MKPRU,2011-02-01,0.61
91963,MKPRU,2011-02-02,0.75
91962,MKPRU,2011-02-03,0.88
91961,MKPRU,2011-02-04,0.78
91960,MKPRU,2011-02-05,0.92
91959,MKPRU,2011-02-06,0.9058
91958,MKPRU,2011-02-07,0.92
91957,MKPRU,2011-02-08,0.935
91956,MKPRU,2011-02-09,1.1
91955,MKPRU,2011-02-10,0.97
91954,MKPRU,2011-02-11,1.0899
91953,MKPRU,2011-02-12,1.08
91952,MKPRU,2011-02-13,1.09
91951,MKPRU,2011-02-14,1.085
91950,MKPRU,2011-02-15,1.0502
91949,MKPRU,2011-02-16,1.08
91948,MKPRU,2011-02-17,1.0502
91947,MKPRU,2011-02-18,1.02
91946,MKPRU,2011-02-19,1.04
91945,MKPRU,2011-02-20,0.8796
91944,MKPRU,2011-02-21,0.8695
91943,MKPRU,2011-02-22,0.88
91942,MKPRU,2011-02-23,0.9499
91941,MKPRU,2011-02-24,1.0
91940,MKPRU,2011-02-25,0.96
91939,MKPRU,2011-02-26,0.96
91938,MKPRU,2011-02-27,0.9492
91937,MKPRU,2011-02-28,0.96
91936,MKPRU,2011-03-01,0.9498
91935,MKPRU,2011-03-02,0.94
91934,MKPRU,2011-03-03,0.95
91933,MKPRU,2011-03-04,0.9189
91932,MKPRU,2011-03-05,0.9104
91931,MKPRU,2011-03-06,0.92
91930,MKPRU,2011-03-07,0.9072
91929,MKPRU,2011-03-08,0.8838
91928,MKPRU,2011-03-09,0.9
91927,MKPRU,2011-03-10,0.9329
91926,MKPRU,2011-03-11,0.9197
91925,MKPRU,2011-03-12,0.93
91924,MKPRU,2011-03-13,0.9
91923,MKPRU,2011-03-14,0.8999
91922,MKPRU,2011-03-15,0.9
91921,MKPRU,2011-03-16,0.88
91920,MKPRU,2011-03-17,0.8506
91919,MKPRU,2011-03-18,0.87
91918,MKPRU,2011-03-19,0.79
91917,MKPRU,2011-03-20,0.7883
91916,MKPRU,2011-03-21,0.79
91915,MKPRU,2011-03-22,0.85
91914,MKPRU,2011-03-23,0.9
91913,MKPRU,2011-03-24,0.86
91912,MKPRU,2011-03-25,0.905
91911,MKPRU,2011-03-26,0.8958
91910,MKPRU,2011-03-27,0.9
91909,MKPRU,2011-03-28,0.8
91908,MKPRU,2011-03-29,0.795
91907,MKPRU,2011-03-30,0.8
91906,MKPRU,2011-03-31,0.8
91905,MKPRU,2011-04-01,0.797
91904,MKPRU,2011-04-02,0.8
91903,MKPRU,2011-04-03,0.79
91902,MKPRU,2011-04-04,0.71
91901,MKPRU,2011-04-05,0.77
91900,MKPRU,2011-04-06,0.7677
91899,MKPRU,2011-04-07,0.799
91898,MKPRU,2011-04-08,0.78
91897,MKPRU,2011-04-09,0.7589
91896,MKPRU,2011-04-10,0.781
91895,MKPRU,2011-04-11,0.76
91894,MKPRU,2011-04-12,1.0
91893,MKPRU,2011-04-13,0.94
91892,MKPRU,2011-04-14,0.99
91891,MKPRU,2011-04-15,1.095
91890,MKPRU,2011-04-16,1.085
91889,MKPRU,2011-04-17,1.09
91888,MKPRU,2011-04-18,1.19
91887,MKPRU,2011-04-19,1.1979
91886,MKPRU,2011-04-20,1.19
91885,MKPRU,2011-04-21,1.332
91884,MKPRU,2011-04-22,1.549
91883,MKPRU,2011-04-23,1.38
91882,MKPRU,2011-04-24,1.701
91881,MKPRU,2011-04-25,1.73
91880,MKPRU,2011-04-26,1.71
91879,MKPRU,2011-04-27,2.65
91878,MKPRU,2011-04-28,2.7
91877,MKPRU,2011-04-29,2.66
91876,MKPRU,2011-04-30,4.09
91875,MKPRU,2011-05-01,3.495
91874,MKPRU,2011-05-02,3.95
91873,MKPRU,2011-05-03,3.58
91872,MKPRU,2011-05-04,3.5
91871,MKPRU,2011-05-05,3.56
91870,MKPRU,2011-05-06,3.7
91869,MKPRU,2011-05-07,3.9
91868,MKPRU,2011-05-08,3.75
91867,MKPRU,2011-05-09,5.2
91866,MKPRU,2011-05-10,6.065
91865,MKPRU,2011-05-11,5.41
91864,MKPRU,2011-05-12,8.45
91863,MKPRU,2011-05-13,8.9
91862,MKPRU,2011-05-14,8.56
91861,MKPRU,2011-05-15,8.5
91860,MKPRU,2011-05-16,8.389
91859,MKPRU,2011-05-17,8.47
91858,MKPRU,2011-05-18,7.34
91857,MKPRU,2011-05-19,7.1
91856,MKPRU,2011-05-20,7.28
91855,MKPRU,2011-05-21,6.61
91854,MKPRU,2011-05-22,7.45
91853,MKPRU,2011-05-23,6.81
91852,MKPRU,2011-05-24,7.51
91851,MKPRU,2011-05-25,9.33
91850,MKPRU,2011-05-26,7.95
91849,MKPRU,2011-05-27,8.735
91848,MKPRU,2011-05-28,8.4992
91847,MKPRU,2011-05-29,8.68
91846,MKPRU,2011-05-30,9.4998
91845,MKPRU,2011-05-31,9.391
91844,MKPRU,2011-06-01,9.47
91843,MKPRU,2011-06-02,14.3
91842,MKPRU,2011-06-03,17.41
91841,MKPRU,2011-06-04,15.05
91840,MKPRU,2011-06-05,19.23
91839,MKPRU,2011-06-06,19.06
91838,MKPRU,2011-06-07,19.19
91837,MKPRU,2011-06-08,31.5
91836,MKPRU,2011-06-09,35.0
91835,MKPRU,2011-06-10,32.34
91834,MKPRU,2011-06-11,24.99
91833,MKPRU,2011-06-12,24.5
91832,MKPRU,2011-06-13,24.87
91831,MKPRU,2011-06-14,20.0
91830,MKPRU,2011-06-15,19.96
91829,MKPRU,2011-06-16,19.99
91828,MKPRU,2011-06-17,17.2
91827,MKPRU,2011-06-18,18.8766
91826,MKPRU,2011-06-19,17.6
91825,MKPRU,2011-06-20,15.5
91824,MKPRU,2011-06-21,15.05
91823,MKPRU,2011-06-22,15.39
91822,MKPRU,2011-06-23,16.7501
91821,MKPRU,2011-06-24,17.6
91820,MKPRU,2011-06-25,16.95
91819,MKPRU,2011-06-26,18.0
91818,MKPRU,2011-06-27,17.52
91817,MKPRU,2011-06-28,17.89
91816,MKPRU,2011-06-29,17.5
91815,MKPRU,2011-06-30,17.0
91814,MKPRU,2011-07-01,17.38
91813,MKPRU,2011-07-02,15.7
91812,MKPRU,2011-07-03,15.85
91811,MKPRU,2011-07-04,15.74
91810,MKPRU,2011-07-05,16.5
91809,MKPRU,2011-07-06,16.25
91808,MKPRU,2011-07-07,16.44
91807,MKPRU,2011-07-08,15.0
91806,MKPRU,2011-07-09,15.68
91805,MKPRU,2011-07-10,15.16
91804,MKPRU,2011-07-11,14.6399
91803,MKPRU,2011-07-12,14.15
91802,MKPRU,2011-07-13,14.52
91801,MKPRU,2011-07-14,14.3
91800,MKPRU,2011-07-15,14.1
91799,MKPRU,2011-07-16,14.25
91798,MKPRU,2011-07-17,13.6901
91797,MKPRU,2011-07-18,14.7
91796,MKPRU,2011-07-19,13.93
91795,MKPRU,2011-07-20,13.9389
91794,MKPRU,2011-07-21,13.9389
91793,MKPRU,2011-07-22,13.94
91792,MKPRU,2011-07-23,13.98
91791,MKPRU,2011-07-24,14.7399
91790,MKPRU,2011-07-25,14.16
91789,MKPRU,2011-07-26,14.13
91788,MKPRU,2011-07-27,14.0
91787,MKPRU,2011-07-28,14.1
91786,MKPRU,2011-07-29,13.8
91785,MKPRU,2011-07-30,14.8999
91784,MKPRU,2011-07-31,14.06
91783,MKPRU,2011-08-01,13.45
91782,MKPRU,2011-08-02,13.1
91781,MKPRU,2011-08-03,13.37
91780,MKPRU,2011-08-04,11.55
91779,MKPRU,2011-08-05,11.0
91778,MKPRU,2011-08-06,11.42
91777,MKPRU,2011-08-07,8.89
91776,MKPRU,2011-08-08,12.1
91775,MKPRU,2011-08-09,9.66
